epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,589.911,0.99112,0.81586,1.20398,0.5413,0.48112,0.45414,0.19414,2.035,1.41569,2.11076,0.000182656,0.000182656,0.000182656
71,602.67,1.02913,0.87147,1.21629,0.53396,0.46499,0.44823,0.18223,2.08907,1.4852,2.2039,0.000167188,0.000167188,0.000167188
72,610.69,0.98332,0.79497,1.18965,0.56002,0.39883,0.42292,0.16533,2.10528,1.55459,2.2352,0.000151719,0.000151719,0.000151719
73,619.85,0.97523,0.79033,1.18494,0.51057,0.44991,0.43603,0.18477,2.03476,1.4469,2.09587,0.00013625,0.00013625,0.00013625
74,627.949,0.9426,0.73772,1.17477,0.49146,0.47161,0.43662,0.1841,2.06061,1.45345,2.13439,0.000120781,0.000120781,0.000120781
75,636.213,0.92961,0.74546,1.17203,0.4986,0.47699,0.44444,0.18434,2.06957,1.42651,2.15293,0.000105312,0.000105312,0.000105312
76,643.253,0.9296,0.74269,1.17563,0.49066,0.51926,0.46173,0.1917,2.06509,1.41459,2.11506,8.98437e-05,8.98437e-05,8.98437e-05
77,652.955,0.89026,0.70867,1.13742,0.49996,0.52144,0.46491,0.19448,2.07492,1.3977,2.12754,7.4375e-05,7.4375e-05,7.4375e-05
78,659.989,0.89667,0.70452,1.15532,0.52894,0.52747,0.47324,0.191,2.0836,1.40944,2.14838,5.89062e-05,5.89062e-05,5.89062e-05
79,668.923,0.90733,0.70599,1.14726,0.51134,0.52557,0.46779,0.18705,2.09477,1.42658,2.1631,4.34375e-05,4.34375e-05,4.34375e-05
80,676.136,0.87397,0.70711,1.1463,0.49912,0.52971,0.46376,0.18911,2.08978,1.42638,2.1565,2.79687e-05,2.79687e-05,2.79687e-05
